id,name,industry,founded,employees,headquarters,description
1,Tata Consultancy Services,IT Services,1968,614000,Mumbai,Leading IT services and consulting company
2,Infosys,IT Services,1981,335000,Bangalore,Global leader in consulting and technology services
3,Wipro,IT Services,1945,260000,Bangalore,IT services and business process outsourcing
4,Reliance Industries,Conglomerate,1966,389000,Mumbai,Diversified conglomerate - Oil Gas Telecom Retail
5,HDFC Bank,Banking,1994,177000,Mumbai,Leading private sector bank in India
6,ITC Limited,Conglomerate,1910,26000,Kolkata,FMCG Hotels Paperboards Packaging Agribusiness
7,Mahindra & Mahindra,Automotive,1945,260000,Mumbai,Automobiles farm equipment IT services
8,Larsen & Toubro,Engineering,1938,122000,Mumbai,Engineering construction manufacturing
9,Asian Paints,Paints,1942,31000,Mumbai,Paints and coatings manufacturer
10,HCL Technologies,IT Services,1976,225000,Noida,IT services and consulting
11,ICICI Bank,Banking,1994,120000,Mumbai,Private sector banking and financial services
12,Axis Bank,Banking,1993,85000,Mumbai,Private sector bank
13,Bharti Airtel,Telecom,1995,35000,New Delhi,Telecommunications services provider
14,Adani Green Energy,Renewable Energy,2015,4000,Ahmedabad,Renewable energy power generation
15,Tata Steel,Steel,1907,75000,Mumbai,Steel manufacturing and mining